filepath,class,source,split
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00601.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00474.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00410.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00355.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00289.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00475.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00298.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00602.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00305.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00290.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00411.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00356.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00062.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00306.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00603.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00476.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00291.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00477.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00412.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00604.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00605.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00606.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00478.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00479.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00607.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00292.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00608.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00299.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00609.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00357.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00610.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00358.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00307.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00413.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00282.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00359.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00360.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00480.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00232.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00233.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00611.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00612.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00293.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00613.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00283.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00234.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00614.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00063.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00294.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00615.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00235.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00284.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00616.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00300.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00295.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00617.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00064.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00296.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00301.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00414.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00415.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00416.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00308.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00618.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00302.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00285.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00309.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00361.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00481.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00362.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00310.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00297.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00619.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00417.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00311.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00482.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00620.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00312.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00298.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00286.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00621.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00483.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00313.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00622.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00287.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00623.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00236.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00624.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00065.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00303.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00484.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00485.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00625.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00288.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00304.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00418.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00419.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00237.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00314.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00626.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00305.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00627.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00363.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00315.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00299.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00420.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00306.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00628.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00307.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00308.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00421.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00309.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00486.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00629.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00289.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00364.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00300.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00630.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00365.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00290.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00310.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00238.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00366.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00422.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00311.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00631.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00423.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00632.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00633.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00424.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00487.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00301.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00425.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00426.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00316.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00427.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00317.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00428.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00634.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00302.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00312.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00239.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00291.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00367.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00429.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00318.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00430.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00292.jpg,Corn___Common_Rust,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00303.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00319.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00368.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00369.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00431.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00320.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00370.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00313.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00635.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00314.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00304.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00432.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Fall_Armyworm/Corn___Fall_Armyworm_CCMT_00066.jpg,Corn___Fall_Armyworm,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00636.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00371.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00488.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00433.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00372.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00434.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00305.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00435.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Cassava___Healthy/Cassava___Healthy_CCMT_00306.jpg,Cassava___Healthy,CCMT,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00436.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00321.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00322.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00489.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00293.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00323.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00324.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00437.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00325.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00240.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00490.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00491.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_PV_00438.jpg,Corn___Gray_Leaf_Spot,PV,train
data/processed/train/Corn___Gray_Leaf_Spot/Corn___Gray_Leaf_Spot_CCMT_00439.jpg,Corn___Gray_Leaf_Spot,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00637.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00638.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Brown_Spot/Cassava___Brown_Spot_CCMT_00373.jpg,Cassava___Brown_Spot,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00326.jpg,Corn___Healthy,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00492.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00327.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00639.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00241.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00640.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_CCMT_00328.jpg,Corn___Healthy,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00641.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Healthy/Corn___Healthy_PV_00329.jpg,Corn___Healthy,PV,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00315.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00316.jpg,Cassava___Mosaic,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00642.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00294.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00493.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00242.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00643.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00243.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00644.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00645.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00646.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00494.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Corn___Common_Rust/Corn___Common_Rust_PV_00295.jpg,Corn___Common_Rust,PV,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_CCMT_00495.jpg,Corn___Northern_Leaf_Blight,CCMT,train
data/processed/train/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight_PV_00496.jpg,Corn___Northern_Leaf_Blight,PV,train
data/processed/train/Cassava___Bacterial_Blight/Cassava___Bacterial_Blight_CCMT_00647.jpg,Cassava___Bacterial_Blight,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00244.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Corn___Streak_Virus/Corn___Streak_Virus_CCMT_00245.jpg,Corn___Streak_Virus,CCMT,train
data/processed/train/Cassava___Mosaic/Cassava___Mosaic_CCMT_00317.jpg,Cassava___Mosaic,CCMT,train
